window_time,tollgate_id,direction,vehicle_model,has_etc,vehicle_type,month,day,hour,minute,hour_y,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,count,direction,tollgate_id,window_time,window_time_formatted,weekday,rounded_min,is_festival,is_working_day
2016-09-19-1-40,2,0,1.0,1.0,,9.0,19.0,1.0,49.5,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,2,0,2,2016-09-19-1-40,2016-09-19 01:40:00,1.0,40.0,0,1
2016-09-19-1-40,3,0,2.0,0.0,,9.0,19.0,1.0,52.8181818182,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,11,0,3,2016-09-19-1-40,2016-09-19 01:40:00,1.0,40.0,0,1
2016-09-19-1-40,3,1,2.0,0.0,0.25,9.0,19.0,1.0,53.0,0.0,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0,4,1,3,2016-09-19-1-40,2016-09-19 01:40:00,1.0,40.0,0,1
2016-09-19-10-0,1,0,1.13636363636,0.159090909091,,9.0,19.0,10.0,10.4090909091,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,44,0,1,2016-09-19-10-0,2016-09-19 10:00:00,1.0,0.0,0,1
2016-09-19-10-0,1,1,1.31683168317,0.148514851485,0.336633663366,9.0,19.0,10.0,10.702970297,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,101,1,1,2016-09-19-10-0,2016-09-19 10:00:00,1.0,0.0,0,1
2016-09-19-10-0,2,0,1.02816901408,0.253521126761,,9.0,19.0,10.0,8.52112676056,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,71,0,2,2016-09-19-10-0,2016-09-19 10:00:00,1.0,0.0,0,1
2016-09-19-10-0,3,0,1.25961538462,0.230769230769,,9.0,19.0,10.0,10.5865384615,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,104,0,3,2016-09-19-10-0,2016-09-19 10:00:00,1.0,0.0,0,1
2016-09-19-10-0,3,1,1.28205128205,0.222222222222,0.196581196581,9.0,19.0,10.0,9.55555555556,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,117,1,3,2016-09-19-10-0,2016-09-19 10:00:00,1.0,0.0,0,1
2016-09-19-10-20,1,0,1.02272727273,0.136363636364,,9.0,19.0,10.0,29.9090909091,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,44,0,1,2016-09-19-10-20,2016-09-19 10:20:00,1.0,20.0,0,1
2016-09-19-10-20,1,1,1.22857142857,0.190476190476,0.295238095238,9.0,19.0,10.0,29.0571428571,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,105,1,1,2016-09-19-10-20,2016-09-19 10:20:00,1.0,20.0,0,1
2016-09-19-10-20,2,0,1.28409090909,0.125,,9.0,19.0,10.0,28.7386363636,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,88,0,2,2016-09-19-10-20,2016-09-19 10:20:00,1.0,20.0,0,1
2016-09-19-10-20,3,0,1.25225225225,0.198198198198,,9.0,19.0,10.0,29.0990990991,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,111,0,3,2016-09-19-10-20,2016-09-19 10:20:00,1.0,20.0,0,1
2016-09-19-10-20,3,1,1.31034482759,0.195402298851,0.206896551724,9.0,19.0,10.0,29.1034482759,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,87,1,3,2016-09-19-10-20,2016-09-19 10:20:00,1.0,20.0,0,1
2016-09-19-10-40,1,0,1.11363636364,0.227272727273,,9.0,19.0,10.0,49.0909090909,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,44,0,1,2016-09-19-10-40,2016-09-19 10:40:00,1.0,40.0,0,1
2016-09-19-10-40,1,1,1.26470588235,0.196078431373,0.294117647059,9.0,19.0,10.0,49.5294117647,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,102,1,1,2016-09-19-10-40,2016-09-19 10:40:00,1.0,40.0,0,1
2016-09-19-10-40,2,0,1.27692307692,0.215384615385,,9.0,19.0,10.0,49.2923076923,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,65,0,2,2016-09-19-10-40,2016-09-19 10:40:00,1.0,40.0,0,1
2016-09-19-10-40,3,0,1.2868852459,0.155737704918,,9.0,19.0,10.0,49.5819672131,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,122,0,3,2016-09-19-10-40,2016-09-19 10:40:00,1.0,40.0,0,1
2016-09-19-10-40,3,1,1.21176470588,0.223529411765,0.164705882353,9.0,19.0,10.0,49.2588235294,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,85,1,3,2016-09-19-10-40,2016-09-19 10:40:00,1.0,40.0,0,1
2016-09-19-11-0,1,0,1.20512820513,0.230769230769,,9.0,19.0,11.0,10.4102564103,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,39,0,1,2016-09-19-11-0,2016-09-19 11:00:00,1.0,0.0,0,1
2016-09-19-11-0,1,1,1.3488372093,0.279069767442,0.279069767442,9.0,19.0,11.0,9.02325581395,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,86,1,1,2016-09-19-11-0,2016-09-19 11:00:00,1.0,0.0,0,1
2016-09-19-11-0,2,0,1.2,0.26,,9.0,19.0,11.0,10.86,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,50,0,2,2016-09-19-11-0,2016-09-19 11:00:00,1.0,0.0,0,1
2016-09-19-11-0,3,0,1.20720720721,0.234234234234,,9.0,19.0,11.0,8.82882882883,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,111,0,3,2016-09-19-11-0,2016-09-19 11:00:00,1.0,0.0,0,1
2016-09-19-11-0,3,1,1.39726027397,0.27397260274,0.191780821918,9.0,19.0,11.0,9.98630136986,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,73,1,3,2016-09-19-11-0,2016-09-19 11:00:00,1.0,0.0,0,1
2016-09-19-11-20,1,0,1.16666666667,0.233333333333,,9.0,19.0,11.0,30.4333333333,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,30,0,1,2016-09-19-11-20,2016-09-19 11:20:00,1.0,20.0,0,1
2016-09-19-11-20,1,1,1.19736842105,0.223684210526,0.25,9.0,19.0,11.0,30.0,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,76,1,1,2016-09-19-11-20,2016-09-19 11:20:00,1.0,20.0,0,1
2016-09-19-11-20,2,0,1.13114754098,0.229508196721,,9.0,19.0,11.0,28.7049180328,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,61,0,2,2016-09-19-11-20,2016-09-19 11:20:00,1.0,20.0,0,1
2016-09-19-11-20,3,0,1.32926829268,0.182926829268,,9.0,19.0,11.0,29.743902439,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,82,0,3,2016-09-19-11-20,2016-09-19 11:20:00,1.0,20.0,0,1
2016-09-19-11-20,3,1,1.33333333333,0.305555555556,0.194444444444,9.0,19.0,11.0,29.4027777778,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,72,1,3,2016-09-19-11-20,2016-09-19 11:20:00,1.0,20.0,0,1
2016-09-19-11-40,1,0,1.20588235294,0.294117647059,,9.0,19.0,11.0,50.3823529412,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,34,0,1,2016-09-19-11-40,2016-09-19 11:40:00,1.0,40.0,0,1
2016-09-19-11-40,1,1,1.58,0.22,0.3,9.0,19.0,11.0,49.39,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,100,1,1,2016-09-19-11-40,2016-09-19 11:40:00,1.0,40.0,0,1
2016-09-19-11-40,2,0,1.15217391304,0.195652173913,,9.0,19.0,11.0,49.2826086957,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,46,0,2,2016-09-19-11-40,2016-09-19 11:40:00,1.0,40.0,0,1
2016-09-19-11-40,3,0,1.25274725275,0.21978021978,,9.0,19.0,11.0,49.3516483516,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,91,0,3,2016-09-19-11-40,2016-09-19 11:40:00,1.0,40.0,0,1
2016-09-19-11-40,3,1,1.32876712329,0.246575342466,0.205479452055,9.0,19.0,11.0,48.2328767123,9.0,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1,73,1,3,2016-09-19-11-40,2016-09-19 11:40:00,1.0,40.0,0,1
2016-09-19-12-0,1,0,1.04444444444,0.177777777778,,9.0,19.0,12.0,11.4444444444,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,45,0,1,2016-09-19-12-0,2016-09-19 12:00:00,1.0,0.0,0,1
2016-09-19-12-0,1,1,1.28282828283,0.20202020202,0.323232323232,9.0,19.0,12.0,9.64646464646,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,99,1,1,2016-09-19-12-0,2016-09-19 12:00:00,1.0,0.0,0,1
2016-09-19-12-0,2,0,1.19540229885,0.206896551724,,9.0,19.0,12.0,10.1954022989,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,87,0,2,2016-09-19-12-0,2016-09-19 12:00:00,1.0,0.0,0,1
2016-09-19-12-0,3,0,1.21153846154,0.298076923077,,9.0,19.0,12.0,10.0961538462,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,104,0,3,2016-09-19-12-0,2016-09-19 12:00:00,1.0,0.0,0,1
2016-09-19-12-0,3,1,1.18085106383,0.255319148936,0.148936170213,9.0,19.0,12.0,8.54255319149,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,94,1,3,2016-09-19-12-0,2016-09-19 12:00:00,1.0,0.0,0,1
2016-09-19-12-20,1,0,1.13636363636,0.318181818182,,9.0,19.0,12.0,30.2727272727,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,44,0,1,2016-09-19-12-20,2016-09-19 12:20:00,1.0,20.0,0,1
2016-09-19-12-20,1,1,1.25714285714,0.2,0.357142857143,9.0,19.0,12.0,29.7714285714,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,70,1,1,2016-09-19-12-20,2016-09-19 12:20:00,1.0,20.0,0,1
2016-09-19-12-20,2,0,1.21212121212,0.272727272727,,9.0,19.0,12.0,29.803030303,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,66,0,2,2016-09-19-12-20,2016-09-19 12:20:00,1.0,20.0,0,1
2016-09-19-12-20,3,0,1.2967032967,0.208791208791,,9.0,19.0,12.0,28.8461538462,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,91,0,3,2016-09-19-12-20,2016-09-19 12:20:00,1.0,20.0,0,1
2016-09-19-12-20,3,1,1.37209302326,0.232558139535,0.232558139535,9.0,19.0,12.0,27.8488372093,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,86,1,3,2016-09-19-12-20,2016-09-19 12:20:00,1.0,20.0,0,1
2016-09-19-12-40,1,0,1.15094339623,0.339622641509,,9.0,19.0,12.0,50.2641509434,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,53,0,1,2016-09-19-12-40,2016-09-19 12:40:00,1.0,40.0,0,1
2016-09-19-12-40,1,1,1.49367088608,0.189873417722,0.329113924051,9.0,19.0,12.0,50.4810126582,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,79,1,1,2016-09-19-12-40,2016-09-19 12:40:00,1.0,40.0,0,1
2016-09-19-12-40,2,0,1.17391304348,0.202898550725,,9.0,19.0,12.0,50.1449275362,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,69,0,2,2016-09-19-12-40,2016-09-19 12:40:00,1.0,40.0,0,1
2016-09-19-12-40,3,0,1.19672131148,0.188524590164,,9.0,19.0,12.0,49.6721311475,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,122,0,3,2016-09-19-12-40,2016-09-19 12:40:00,1.0,40.0,0,1
2016-09-19-12-40,3,1,1.18085106383,0.234042553191,0.18085106383,9.0,19.0,12.0,50.1170212766,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,94,1,3,2016-09-19-12-40,2016-09-19 12:40:00,1.0,40.0,0,1
2016-09-19-13-0,1,0,1.19298245614,0.298245614035,,9.0,19.0,13.0,10.8596491228,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,57,0,1,2016-09-19-13-0,2016-09-19 13:00:00,1.0,0.0,0,1
2016-09-19-13-0,1,1,1.39,0.15,0.32,9.0,19.0,13.0,8.94,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,100,1,1,2016-09-19-13-0,2016-09-19 13:00:00,1.0,0.0,0,1
2016-09-19-13-0,2,0,1.24691358025,0.320987654321,,9.0,19.0,13.0,11.3333333333,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,81,0,2,2016-09-19-13-0,2016-09-19 13:00:00,1.0,0.0,0,1
2016-09-19-13-0,3,0,1.17094017094,0.273504273504,,9.0,19.0,13.0,9.46153846154,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,117,0,3,2016-09-19-13-0,2016-09-19 13:00:00,1.0,0.0,0,1
2016-09-19-13-0,3,1,1.18681318681,0.241758241758,0.153846153846,9.0,19.0,13.0,8.69230769231,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,91,1,3,2016-09-19-13-0,2016-09-19 13:00:00,1.0,0.0,0,1
2016-09-19-13-20,1,0,1.13114754098,0.27868852459,,9.0,19.0,13.0,29.7213114754,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,61,0,1,2016-09-19-13-20,2016-09-19 13:20:00,1.0,20.0,0,1
2016-09-19-13-20,1,1,1.5462962963,0.212962962963,0.287037037037,9.0,19.0,13.0,29.6296296296,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,108,1,1,2016-09-19-13-20,2016-09-19 13:20:00,1.0,20.0,0,1
2016-09-19-13-20,2,0,1.35789473684,0.305263157895,,9.0,19.0,13.0,29.2631578947,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,95,0,2,2016-09-19-13-20,2016-09-19 13:20:00,1.0,20.0,0,1
2016-09-19-13-20,3,0,1.32710280374,0.214953271028,,9.0,19.0,13.0,29.9813084112,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,107,0,3,2016-09-19-13-20,2016-09-19 13:20:00,1.0,20.0,0,1
2016-09-19-13-20,3,1,1.2,0.236363636364,0.190909090909,9.0,19.0,13.0,30.3090909091,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,110,1,3,2016-09-19-13-20,2016-09-19 13:20:00,1.0,20.0,0,1
2016-09-19-13-40,1,0,1.03773584906,0.320754716981,,9.0,19.0,13.0,48.8301886792,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,53,0,1,2016-09-19-13-40,2016-09-19 13:40:00,1.0,40.0,0,1
2016-09-19-13-40,1,1,1.33962264151,0.254716981132,0.254716981132,9.0,19.0,13.0,49.0754716981,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,106,1,1,2016-09-19-13-40,2016-09-19 13:40:00,1.0,40.0,0,1
2016-09-19-13-40,2,0,1.31343283582,0.298507462687,,9.0,19.0,13.0,49.8805970149,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,67,0,2,2016-09-19-13-40,2016-09-19 13:40:00,1.0,40.0,0,1
2016-09-19-13-40,3,0,1.2213740458,0.206106870229,,9.0,19.0,13.0,48.9465648855,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,131,0,3,2016-09-19-13-40,2016-09-19 13:40:00,1.0,40.0,0,1
2016-09-19-13-40,3,1,1.12,0.24,0.19,9.0,19.0,13.0,49.31,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,100,1,3,2016-09-19-13-40,2016-09-19 13:40:00,1.0,40.0,0,1
2016-09-19-14-0,1,0,1.10909090909,0.272727272727,,9.0,19.0,14.0,8.8,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,55,0,1,2016-09-19-14-0,2016-09-19 14:00:00,1.0,0.0,0,1
2016-09-19-14-0,1,1,1.06930693069,0.257425742574,0.178217821782,9.0,19.0,14.0,9.35643564356,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,101,1,1,2016-09-19-14-0,2016-09-19 14:00:00,1.0,0.0,0,1
2016-09-19-14-0,2,0,1.22727272727,0.181818181818,,9.0,19.0,14.0,10.8636363636,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,66,0,2,2016-09-19-14-0,2016-09-19 14:00:00,1.0,0.0,0,1
2016-09-19-14-0,3,0,1.24,0.21,,9.0,19.0,14.0,9.09,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,100,0,3,2016-09-19-14-0,2016-09-19 14:00:00,1.0,0.0,0,1
2016-09-19-14-0,3,1,1.4,0.273684210526,0.168421052632,9.0,19.0,14.0,8.85263157895,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,95,1,3,2016-09-19-14-0,2016-09-19 14:00:00,1.0,0.0,0,1
2016-09-19-14-20,1,0,1.13461538462,0.192307692308,,9.0,19.0,14.0,28.5192307692,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,52,0,1,2016-09-19-14-20,2016-09-19 14:20:00,1.0,20.0,0,1
2016-09-19-14-20,1,1,1.44,0.19,0.28,9.0,19.0,14.0,29.59,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,100,1,1,2016-09-19-14-20,2016-09-19 14:20:00,1.0,20.0,0,1
2016-09-19-14-20,2,0,1.17741935484,0.258064516129,,9.0,19.0,14.0,29.3870967742,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,62,0,2,2016-09-19-14-20,2016-09-19 14:20:00,1.0,20.0,0,1
2016-09-19-14-20,3,0,1.28571428571,0.238095238095,,9.0,19.0,14.0,28.630952381,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,84,0,3,2016-09-19-14-20,2016-09-19 14:20:00,1.0,20.0,0,1
2016-09-19-14-20,3,1,1.13131313131,0.282828282828,0.10101010101,9.0,19.0,14.0,29.2626262626,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,99,1,3,2016-09-19-14-20,2016-09-19 14:20:00,1.0,20.0,0,1
2016-09-19-14-40,1,0,1.05769230769,0.269230769231,,9.0,19.0,14.0,49.5192307692,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,52,0,1,2016-09-19-14-40,2016-09-19 14:40:00,1.0,40.0,0,1
2016-09-19-14-40,1,1,1.24752475248,0.178217821782,0.227722772277,9.0,19.0,14.0,49.4653465347,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,101,1,1,2016-09-19-14-40,2016-09-19 14:40:00,1.0,40.0,0,1
2016-09-19-14-40,2,0,1.16455696203,0.26582278481,,9.0,19.0,14.0,49.0126582278,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,79,0,2,2016-09-19-14-40,2016-09-19 14:40:00,1.0,40.0,0,1
2016-09-19-14-40,3,0,1.26168224299,0.242990654206,,9.0,19.0,14.0,50.3364485981,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,107,0,3,2016-09-19-14-40,2016-09-19 14:40:00,1.0,40.0,0,1
2016-09-19-14-40,3,1,1.15053763441,0.225806451613,0.139784946237,9.0,19.0,14.0,49.4086021505,12.0,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1,93,1,3,2016-09-19-14-40,2016-09-19 14:40:00,1.0,40.0,0,1
2016-09-19-15-0,1,0,1.10416666667,0.3125,,9.0,19.0,15.0,8.29166666667,15.0,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,48,0,1,2016-09-19-15-0,2016-09-19 15:00:00,1.0,0.0,0,1
2016-09-19-15-0,1,1,1.07792207792,0.220779220779,0.181818181818,9.0,19.0,15.0,9.1038961039,15.0,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,77,1,1,2016-09-19-15-0,2016-09-19 15:00:00,1.0,0.0,0,1
2016-09-19-15-0,2,0,1.25974025974,0.246753246753,,9.0,19.0,15.0,8.79220779221,15.0,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,77,0,2,2016-09-19-15-0,2016-09-19 15:00:00,1.0,0.0,0,1
2016-09-19-15-0,3,0,1.21367521368,0.230769230769,,9.0,19.0,15.0,9.26495726496,15.0,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,117,0,3,2016-09-19-15-0,2016-09-19 15:00:00,1.0,0.0,0,1
2016-09-19-15-0,3,1,1.14666666667,0.253333333333,0.12,9.0,19.0,15.0,9.86666666667,15.0,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,75,1,3,2016-09-19-15-0,2016-09-19 15:00:00,1.0,0.0,0,1
2016-09-19-15-20,1,0,1.12280701754,0.140350877193,,9.0,19.0,15.0,30.1578947368,15.0,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,57,0,1,2016-09-19-15-20,2016-09-19 15:20:00,1.0,20.0,0,1
2016-09-19-15-20,1,1,1.23076923077,0.173076923077,0.288461538462,9.0,19.0,15.0,29.7019230769,15.0,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0,104,1,1,2016-09-19-15-20,2016-09-19 15:20:00,1.0,20.0,0,1
