window_time,tollgate_id,direction,volume,year,month,rounded_hour,minute,hour_y,pressure,sea_pressure,count,direction,tollgate_id,window_time,window_time_formatted,is_festival,is_working_day,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,day_18,day_19,day_20,day_21,day_22,day_23,day_24,hour_8,hour_9,hour_17,hour_18,rounded_min_0,rounded_min_20,rounded_min_40,wind_direction_-0.0,wind_direction_30.0,wind_direction_60.0,wind_direction_75.0,wind_direction_90.0,wind_direction_105.0,wind_direction_120.0,wind_direction_165.0,wind_direction_195.0,wind_direction_210.0,wind_direction_225.0,wind_direction_315.0,wind_direction_330.0,wind_direction_345.0,wind_speed_0.0,wind_speed_1.0,wind_speed_2.0,wind_speed_3.0,wind_speed_4.0,wind_speed_6.0,temperature_18.0,temperature_20.0,temperature_22.0,temperature_24.0,rel_humidity_60.0,rel_humidity_70.0,rel_humidity_80.0,rel_humidity_90.0,precipitation_0.0,precipitation_1.0,precipitation_3.0,day,hour
2016-10-18-18-40,1,1,270.77,2016,10,18,40,18,1012.1,1017.1,1,1,1,2016-10-18-18-40,2016-10-18 18:40:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,18
2016-10-18-18-40,3,1,277.86,2016,10,18,40,18,1012.1,1017.1,1,1,3,2016-10-18-18-40,2016-10-18 18:40:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,18
2016-10-18-8-0,1,1,281.08,2016,10,6,0,6,1012.5,1017.5,1,1,1,2016-10-18-8-0,2016-10-18 08:00:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,18,8
2016-10-18-8-0,3,1,82.33,2016,10,6,0,6,1012.5,1017.5,1,1,3,2016-10-18-8-0,2016-10-18 08:00:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,18,8
2016-10-18-8-20,1,1,275.74,2016,10,6,20,6,1012.5,1017.5,1,1,1,2016-10-18-8-20,2016-10-18 08:20:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,18,8
2016-10-18-8-20,3,1,221.7,2016,10,6,20,6,1012.5,1017.5,1,1,3,2016-10-18-8-20,2016-10-18 08:20:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,18,8
2016-10-18-8-40,1,1,206.55,2016,10,6,40,6,1012.5,1017.5,1,1,1,2016-10-18-8-40,2016-10-18 08:40:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,18,8
2016-10-18-8-40,3,1,136.76,2016,10,6,40,6,1012.5,1017.5,1,1,3,2016-10-18-8-40,2016-10-18 08:40:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,18,8
2016-10-18-9-0,1,1,258.28,2016,10,9,0,9,1013.0,1018.0,1,1,1,2016-10-18-9-0,2016-10-18 09:00:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,9
2016-10-18-9-0,3,1,44.49,2016,10,9,0,9,1013.0,1018.0,1,1,3,2016-10-18-9-0,2016-10-18 09:00:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,9
2016-10-18-9-20,1,1,173.13,2016,10,9,20,9,1013.0,1018.0,1,1,1,2016-10-18-9-20,2016-10-18 09:20:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,9
2016-10-18-9-20,3,1,234.07,2016,10,9,20,9,1013.0,1018.0,1,1,3,2016-10-18-9-20,2016-10-18 09:20:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,9
2016-10-18-9-40,1,1,271.12,2016,10,9,40,9,1013.0,1018.0,1,1,1,2016-10-18-9-40,2016-10-18 09:40:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,9
2016-10-18-9-40,3,1,89.1,2016,10,9,40,9,1013.0,1018.0,1,1,3,2016-10-18-9-40,2016-10-18 09:40:00,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,18,9
2016-10-19-17-0,1,1,213.41,2016,10,15,0,15,1011.6,1016.6,1,1,1,2016-10-19-17-0,2016-10-19 17:00:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,17
2016-10-19-17-0,3,1,44.83,2016,10,15,0,15,1011.6,1016.6,1,1,3,2016-10-19-17-0,2016-10-19 17:00:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,17
2016-10-19-17-20,1,1,285.62,2016,10,15,20,15,1011.6,1016.6,1,1,1,2016-10-19-17-20,2016-10-19 17:20:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,17
2016-10-19-17-20,3,1,176.72,2016,10,15,20,15,1011.6,1016.6,1,1,3,2016-10-19-17-20,2016-10-19 17:20:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,17
2016-10-19-17-40,1,1,271.67,2016,10,15,40,15,1011.6,1016.6,1,1,1,2016-10-19-17-40,2016-10-19 17:40:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,17
2016-10-19-17-40,3,1,248.58,2016,10,15,40,15,1011.6,1016.6,1,1,3,2016-10-19-17-40,2016-10-19 17:40:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,17
2016-10-19-18-0,1,1,80.13,2016,10,18,0,18,1010.1,1015.1,1,1,1,2016-10-19-18-0,2016-10-19 18:00:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,19,18
2016-10-19-18-0,3,1,52.51,2016,10,18,0,18,1010.1,1015.1,1,1,3,2016-10-19-18-0,2016-10-19 18:00:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,19,18
2016-10-19-18-20,1,1,184.03,2016,10,18,20,18,1010.1,1015.1,1,1,1,2016-10-19-18-20,2016-10-19 18:20:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,19,18
2016-10-19-18-20,3,1,84.0,2016,10,18,20,18,1010.1,1015.1,1,1,3,2016-10-19-18-20,2016-10-19 18:20:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,19,18
2016-10-19-18-40,1,1,159.81,2016,10,18,40,18,1010.1,1015.1,1,1,1,2016-10-19-18-40,2016-10-19 18:40:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,19,18
2016-10-19-18-40,3,1,56.75,2016,10,18,40,18,1010.1,1015.1,1,1,3,2016-10-19-18-40,2016-10-19 18:40:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,19,18
2016-10-19-8-0,1,1,277.46,2016,10,6,0,6,1010.8,1015.8,1,1,1,2016-10-19-8-0,2016-10-19 08:00:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,8
2016-10-19-8-0,3,1,97.84,2016,10,6,0,6,1010.8,1015.8,1,1,3,2016-10-19-8-0,2016-10-19 08:00:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,8
2016-10-19-8-20,1,1,152.35,2016,10,6,20,6,1010.8,1015.8,1,1,1,2016-10-19-8-20,2016-10-19 08:20:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,8
2016-10-19-8-20,3,1,211.89,2016,10,6,20,6,1010.8,1015.8,1,1,3,2016-10-19-8-20,2016-10-19 08:20:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,8
2016-10-19-8-40,1,1,107.49,2016,10,6,40,6,1010.8,1015.8,1,1,1,2016-10-19-8-40,2016-10-19 08:40:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,8
2016-10-19-8-40,3,1,147.72,2016,10,6,40,6,1010.8,1015.8,1,1,3,2016-10-19-8-40,2016-10-19 08:40:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,19,8
2016-10-19-9-0,1,1,197.4,2016,10,9,0,9,1010.9,1015.9,1,1,1,2016-10-19-9-0,2016-10-19 09:00:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,19,9
2016-10-19-9-0,3,1,119.57,2016,10,9,0,9,1010.9,1015.9,1,1,3,2016-10-19-9-0,2016-10-19 09:00:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,19,9
2016-10-19-9-20,1,1,13.42,2016,10,9,20,9,1010.9,1015.9,1,1,1,2016-10-19-9-20,2016-10-19 09:20:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,19,9
2016-10-19-9-20,3,1,248.54,2016,10,9,20,9,1010.9,1015.9,1,1,3,2016-10-19-9-20,2016-10-19 09:20:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,19,9
2016-10-19-9-40,1,1,250.25,2016,10,9,40,9,1010.9,1015.9,1,1,1,2016-10-19-9-40,2016-10-19 09:40:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,19,9
2016-10-19-9-40,3,1,92.16,2016,10,9,40,9,1010.9,1015.9,1,1,3,2016-10-19-9-40,2016-10-19 09:40:00,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,19,9
2016-10-20-17-0,1,1,137.38,2016,10,15,0,15,1008.5,1013.5,1,1,1,2016-10-20-17-0,2016-10-20 17:00:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,20,17
2016-10-20-17-0,3,1,168.59,2016,10,15,0,15,1008.5,1013.5,1,1,3,2016-10-20-17-0,2016-10-20 17:00:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,20,17
2016-10-20-17-20,1,1,112.21,2016,10,15,20,15,1008.5,1013.5,1,1,1,2016-10-20-17-20,2016-10-20 17:20:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,20,17
2016-10-20-17-20,3,1,21.35,2016,10,15,20,15,1008.5,1013.5,1,1,3,2016-10-20-17-20,2016-10-20 17:20:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,20,17
2016-10-20-17-40,1,1,275.81,2016,10,15,40,15,1008.5,1013.5,1,1,1,2016-10-20-17-40,2016-10-20 17:40:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,20,17
2016-10-20-17-40,3,1,27.12,2016,10,15,40,15,1008.5,1013.5,1,1,3,2016-10-20-17-40,2016-10-20 17:40:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,20,17
2016-10-20-18-0,1,1,186.62,2016,10,18,0,18,1007.3,1012.3,1,1,1,2016-10-20-18-0,2016-10-20 18:00:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,20,18
2016-10-20-18-0,3,1,263.57,2016,10,18,0,18,1007.3,1012.3,1,1,3,2016-10-20-18-0,2016-10-20 18:00:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,20,18
2016-10-20-18-20,1,1,201.81,2016,10,18,20,18,1007.3,1012.3,1,1,1,2016-10-20-18-20,2016-10-20 18:20:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,20,18
2016-10-20-18-20,3,1,293.14,2016,10,18,20,18,1007.3,1012.3,1,1,3,2016-10-20-18-20,2016-10-20 18:20:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,20,18
2016-10-20-18-40,1,1,123.92,2016,10,18,40,18,1007.3,1012.3,1,1,1,2016-10-20-18-40,2016-10-20 18:40:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,20,18
2016-10-20-18-40,3,1,116.1,2016,10,18,40,18,1007.3,1012.3,1,1,3,2016-10-20-18-40,2016-10-20 18:40:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,20,18
2016-10-20-8-0,1,1,250.75,2016,10,6,0,6,1007.8,1012.8,1,1,1,2016-10-20-8-0,2016-10-20 08:00:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,8
2016-10-20-8-0,3,1,140.26,2016,10,6,0,6,1007.8,1012.8,1,1,3,2016-10-20-8-0,2016-10-20 08:00:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,8
2016-10-20-8-20,1,1,50.59,2016,10,6,20,6,1007.8,1012.8,1,1,1,2016-10-20-8-20,2016-10-20 08:20:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,8
2016-10-20-8-20,3,1,197.13,2016,10,6,20,6,1007.8,1012.8,1,1,3,2016-10-20-8-20,2016-10-20 08:20:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,8
2016-10-20-8-40,1,1,181.9,2016,10,6,40,6,1007.8,1012.8,1,1,1,2016-10-20-8-40,2016-10-20 08:40:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,8
2016-10-20-8-40,3,1,57.48,2016,10,6,40,6,1007.8,1012.8,1,1,3,2016-10-20-8-40,2016-10-20 08:40:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,8
2016-10-20-9-0,1,1,295.47,2016,10,9,0,9,1008.1,1013.1,1,1,1,2016-10-20-9-0,2016-10-20 09:00:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,9
2016-10-20-9-0,3,1,197.69,2016,10,9,0,9,1008.1,1013.1,1,1,3,2016-10-20-9-0,2016-10-20 09:00:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,9
2016-10-20-9-20,1,1,203.72,2016,10,9,20,9,1008.1,1013.1,1,1,1,2016-10-20-9-20,2016-10-20 09:20:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,9
2016-10-20-9-20,3,1,67.14,2016,10,9,20,9,1008.1,1013.1,1,1,3,2016-10-20-9-20,2016-10-20 09:20:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,9
2016-10-20-9-40,1,1,42.3,2016,10,9,40,9,1008.1,1013.1,1,1,1,2016-10-20-9-40,2016-10-20 09:40:00,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,20,9
